ts_decision,ts_fill,ts_exit,i_decision,i_fill_m1,i_exit_m1,i_exit_m5,q,scenario,level,stop,target,r_est,lots,fill_px,exit_px,exit_reason,ctx_ema,ctx_vwap,ctx_dxy,extension_vwap,retest,risk_amount,equity_before,equity_after,atr,spread,bars_held,scenario_name,exit_reason_name,ts_decision_utc,ts_fill_utc,ts_exit_utc,m5_close
2019-01-30 18:25:00,2019-01-30 18:30:00,2019-01-30 19:10:00,5801.0,28901.0,28941.0,5810.0,-1.0,4.0,1320.0,1320.8829274406453,1310.0,9.335875978286516,0.24,1319.8785,1320.8829274406453,1.0,-1.0,0.0,-1.0,0.0,1.0,24.10625857548621,10017.47258234596,9993.366323770473,0.5938548812907598,0.29,9.0,REV_SHORT,STOP,2019-01-30 23:25:00,2019-01-30 23:30:00,2019-01-31 00:10:00,1319.975
2019-01-30 23:40:00,2019-01-30 23:45:00,2019-01-31 00:30:00,5864.0,29216.0,29261.0,5874.0,-1.0,4.0,1320.0,1320.241134845791,1310.0,21.75125985368125,0.5,1319.7485,1320.254,1.0,-1.0,-1.0,-1.0,0.0,1.0,24.631742289557224,9993.366323770473,9968.091323770474,0.3012696915823176,0.29,10.0,REV_SHORT,STOP,2019-01-31 04:40:00,2019-01-31 04:45:00,2019-01-31 05:30:00,1319.936
2019-01-31 02:30:00,2019-01-31 02:35:00,2019-01-31 06:34:00,5898.0,29386.0,29625.0,5946.0,1.0,1.0,1320.0,1319.516014937663,1330.0,4.272347909928523,0.25,1321.463,1322.412,3.0,1.0,1.0,1.0,0.0,0.0,48.67462655842587,9968.091323770474,9991.816323770476,0.4839850623370713,0.29,48.0,BREAK_LONG,TIME,2019-01-31 07:30:00,2019-01-31 07:35:00,2019-01-31 11:34:00,1321.3595
2019-01-31 13:40:00,2019-01-31 13:45:00,2019-01-31 14:02:00,6032.0,30056.0,30073.0,6036.0,1.0,3.0,1320.0,1319.0010749025773,1330.0,8.19315811839486,0.21,1320.1515,1319.0010749025773,1.0,1.0,-1.0,-1.0,0.0,1.0,24.15892704587486,9991.816323770476,9967.6573967246,0.6788501948455239,0.29,4.0,REV_LONG,STOP,2019-01-31 18:40:00,2019-01-31 18:45:00,2019-01-31 19:02:00,1320.0525
2019-02-01 05:40:00,2019-02-01 05:45:00,2019-02-01 08:31:00,6212.0,30951.0,31117.0,6246.0,1.0,1.0,1320.0,1319.652344472374,1330.0,5.927738917200012,0.32,1321.187,1319.652344472374,1.0,1.0,1.0,1.0,0.0,0.0,49.10897688403202,9967.6573967246,9918.548419840568,0.34765552762617036,0.29,34.0,BREAK_LONG,STOP,2019-02-01 10:40:00,2019-02-01 10:45:00,2019-02-01 13:31:00,1321.001
2019-02-07 15:55:00,2019-02-07 16:00:00,2019-02-07 16:58:00,7439.0,37066.0,37124.0,7451.0,1.0,3.0,1310.0,1309.5291917265756,1320.0,13.58719362967351,0.32,1310.287,1310.0665,4.0,1.0,1.0,-1.0,1.0,1.0,24.24986474958132,9918.548419840568,9911.492419840564,0.394616546848681,0.29,12.0,REV_LONG,SESSION,2019-02-07 20:55:00,2019-02-07 21:00:00,2019-02-07 21:58:00,1310.102
2019-02-08 04:05:00,2019-02-08 04:10:00,2019-02-08 05:14:00,7573.0,37731.0,37795.0,7586.0,-1.0,4.0,1310.0,1310.3917363447274,1300.0,7.450377505131858,0.38,1309.121,1310.3917363447274,1.0,1.0,1.0,1.0,0.0,0.0,48.28798109963782,9911.492419840564,9863.204438740926,0.4614726894545718,0.29,13.0,REV_SHORT,STOP,2019-02-08 09:05:00,2019-02-08 09:10:00,2019-02-08 10:14:00,1309.307
2019-02-11 11:20:00,2019-02-11 11:25:00,2019-02-11 15:24:00,7936.0,39541.0,39780.0,7984.0,-1.0,4.0,1310.0,1310.7943853294362,1300.0,5.678101522489095,0.31,1309.2185,1309.094,3.0,1.0,1.0,1.0,0.0,0.0,48.85244521252321,9863.204438740926,9867.063938740923,0.7517706588725239,0.29,48.0,REV_SHORT,TIME,2019-02-11 16:20:00,2019-02-11 16:25:00,2019-02-11 20:24:00,1309.323
2019-02-12 01:40:00,2019-02-12 01:45:00,2019-02-12 05:44:00,8096.0,40336.0,40575.0,8144.0,1.0,1.0,1310.0,1309.6533880849204,1320.0,5.052023751014455,0.14,1311.404,1313.166,3.0,1.0,1.0,-1.0,0.0,0.0,24.508566811114633,9867.063938740923,9891.731938740922,0.34661191507954253,0.29,48.0,BREAK_LONG,TIME,2019-02-12 06:40:00,2019-02-12 06:45:00,2019-02-12 10:44:00,1311.218
2019-02-12 19:55:00,2019-02-12 20:00:00,2019-02-12 23:59:00,8303.0,41366.0,41605.0,8351.0,1.0,3.0,1310.0,1309.577907325616,1320.0,15.848069991715063,0.86,1310.1495,1313.0865000000001,3.0,-1.0,-1.0,1.0,0.0,0.0,49.15696999702095,9891.731938740922,10144.313938740934,0.38218534876786514,0.29,48.0,REV_LONG,TIME,2019-02-13 00:55:00,2019-02-13 01:00:00,2019-02-13 04:59:00,1310.0515
