i_decision,i_fill_m1,i_exit_m1,i_exit_m5,q,scenario,level,stop,target,r_est,lots,fill_px,exit_px,exit_reason,ctx_ema,ctx_vwap,ctx_dxy,extension_vwap,retest,risk_amount,equity_before,equity_after,atr,spread,bars_held,scenario_name,exit_reason_name,m5_close,ts_decision_utc,ts_fill_utc,ts_exit_utc
170839.0,851104.0,851112.0,170841.0,1.0,3.0,1860.0,1858.6586331974559,1870.0,2.686610710128967,0.12,1861.735,1858.6586331974559,1.0,-1.0,-1.0,1.0,1.0,0.0,36.916401630528526,7500.93802834113,7464.021626710602,1.6527336050880779,0.29,2.0,REV_LONG,STOP,1861.59,2021-05-19 09:35:00,2021-05-19 09:40:00,2021-05-19 09:48:00
171013.0,851969.0,852022.0,171024.0,-1.0,4.0,1870.0,1873.25892023066,1860.0,2.021342427059691,0.08,1868.8705,1873.25892023066,1.0,-1.0,-1.0,1.0,0.0,1.0,35.10736184527923,7464.021626710602,7428.914264865322,1.4478404613194984,0.29,11.0,REV_SHORT,STOP,1869.0155,2021-05-20 01:05:00,2021-05-20 01:10:00,2021-05-20 02:03:00
171115.0,852479.0,852569.0,171134.0,-1.0,2.0,1870.0,1871.3635924240255,1860.0,1.6936928913322273,0.08,1867.145,1871.3635924240255,1.0,1.0,1.0,1.0,0.0,1.0,33.74873939220379,7428.914264865322,7395.165525473119,1.363592424025423,0.29,19.0,BREAK_SHORT,STOP,1867.29,2021-05-20 09:35:00,2021-05-20 09:40:00,2021-05-20 11:10:00
171507.0,854434.0,854456.0,171512.0,1.0,1.0,1880.0,1879.073013234669,1890.0,4.670504313740588,0.09,1881.0,1879.073013234669,1.0,1.0,1.0,-1.0,0.0,0.0,17.342880887979845,7395.165525473119,7377.822644585139,0.9269867653311221,0.29,5.0,BREAK_LONG,STOP,1880.855,2021-05-21 19:15:00,2021-05-21 19:20:00,2021-05-21 19:42:00
171721.0,855499.0,855738.0,171769.0,1.0,3.0,1880.0,1876.8571987453124,1890.0,2.973274160913568,0.11,1880.165,1883.47,3.0,1.0,-1.0,1.0,0.0,1.0,36.38581380156302,7377.822644585139,7414.177644585139,2.145602509375121,0.29,48.0,REV_LONG,TIME,1880.02,2021-05-24 14:05:00,2021-05-24 14:10:00,2021-05-24 18:09:00
171820.0,855989.0,856228.0,171868.0,-1.0,2.0,1880.0,1880.6314677492817,1870.0,6.695777013114894,0.13,1879.25,1880.035,3.0,1.0,1.0,-1.0,0.0,0.0,17.959080740661875,7414.177644585139,7403.972644585138,0.6314677492816922,0.29,48.0,BREAK_SHORT,TIME,1879.395,2021-05-24 23:20:00,2021-05-24 23:25:00,2021-05-25 03:24:00
172109.0,857429.0,857459.0,172116.0,-1.0,4.0,1900.0,1900.640427127365,1890.0,6.57365056173514,0.13,1899.2355,1900.640427127365,1.0,-1.0,-1.0,-1.0,0.0,0.0,18.26405265574499,7403.972644585138,7385.708591929393,0.6768542547303323,0.29,7.0,REV_SHORT,STOP,1899.3805,2021-05-26 00:25:00,2021-05-26 00:30:00,2021-05-26 01:00:00
172257.0,858169.0,858238.0,172271.0,-1.0,4.0,1910.0,1913.6079490297107,1900.0,1.7064612129716665,0.07,1908.58,1900.0,2.0,-1.0,-1.0,1.0,1.0,1.0,35.19564320797509,7385.708591929393,7445.768591929393,1.6248980594215918,0.29,14.0,REV_SHORT,TARGET,1908.725,2021-05-26 12:45:00,2021-05-26 12:50:00,2021-05-26 13:59:00
172968.0,861709.0,861948.0,173016.0,-1.0,4.0,1910.0,1911.222034853599,1900.0,4.300826689046193,0.08,1909.105,1905.5305,3.0,-1.0,-1.0,-1.0,0.0,0.0,16.936278828792638,7445.768591929393,7474.364591929392,1.0780697071981504,0.29,48.0,REV_SHORT,TIME,1909.25,2021-05-31 03:00:00,2021-05-31 03:05:00,2021-05-31 07:04:00
174139.0,867544.0,867776.0,174186.0,1.0,3.0,1870.0,1867.6493033986535,1880.0,2.3150033196162,0.05,1871.375,1880.0,2.0,-1.0,1.0,-1.0,0.0,1.0,18.628483006732495,7474.364591929392,7517.489591929392,1.4313932026929346,0.29,47.0,REV_LONG,TARGET,1871.23,2021-06-04 08:35:00,2021-06-04 08:40:00,2021-06-04 12:32:00
174488.0,869284.0,869523.0,174536.0,1.0,1.0,1890.0,1888.2196895182515,1900.0,1.7298871150923467,0.08,1892.535,1899.0545,3.0,1.0,1.0,1.0,0.0,0.0,34.52248385398889,7517.489591929392,7569.645591929391,1.780310481748642,0.29,48.0,BREAK_LONG,TIME,1892.39,2021-06-07 14:40:00,2021-06-07 14:45:00,2021-06-07 18:44:00
175231.0,872984.0,873003.0,175235.0,1.0,3.0,1880.0,1875.7768857502977,1890.0,2.037105970798424,0.04,1880.46,1875.7768857502977,1.0,-1.0,-1.0,-1.0,1.0,1.0,18.73245699880954,7569.645591929391,7550.913134930582,1.8622284994049498,0.29,4.0,REV_LONG,STOP,1880.315,2021-06-10 07:35:00,2021-06-10 07:40:00,2021-06-10 07:59:00
175553.0,874589.0,874622.0,175560.0,-1.0,2.0,1890.0,1891.3597119314777,1880.0,5.108318035283725,0.2,1889.5,1891.3597119314777,1.0,1.0,1.0,1.0,0.0,0.0,37.19423862955409,7550.913134930582,7513.718896301028,1.3597119314777661,0.29,7.0,BREAK_SHORT,STOP,1889.645,2021-06-11 11:25:00,2021-06-11 11:30:00,2021-06-11 12:03:00
175840.0,876019.0,876040.0,175845.0,1.0,3.0,1850.0,1846.5088092386757,1860.0,1.5211567598808027,0.03,1851.86,1846.5088092386757,1.0,-1.0,-1.0,-1.0,1.0,0.0,16.0535722839727,7513.718896301028,7497.665324017054,1.8043815226487947,0.29,5.0,REV_LONG,STOP,1851.715,2021-06-14 12:20:00,2021-06-14 12:25:00,2021-06-14 12:46:00
176142.0,877524.0,877608.0,176159.0,1.0,3.0,1860.0,1856.6441383631484,1870.0,1.9839755382265554,0.04,1861.12,1856.6441383631484,1.0,-1.0,-1.0,-1.0,0.0,1.0,17.90344654740602,7497.665324017054,7479.761877469648,2.101723273702979,0.29,17.0,REV_LONG,STOP,1860.975,2021-06-15 14:30:00,2021-06-15 14:35:00,2021-06-15 15:59:00
176302.0,878319.0,878354.0,176310.0,-1.0,4.0,1860.0,1860.8830423547276,1850.0,8.690678458308588,0.33,1859.76,1860.8830423547276,1.0,1.0,-1.0,1.0,0.0,1.0,37.060397706012736,7479.761877469648,7442.701479763636,0.7080847094553873,0.29,8.0,REV_SHORT,STOP,1859.905,2021-06-16 04:50:00,2021-06-16 04:55:00,2021-06-16 05:30:00
176364.0,878629.0,878864.0,176412.0,-1.0,4.0,1860.0,1861.0157521783829,1850.0,6.5931315785872755,0.25,1859.565,1861.0157521783829,1.0,1.0,-1.0,1.0,0.0,1.0,36.26880445956999,7442.701479763636,7406.432675304066,0.811504356766012,0.29,48.0,REV_SHORT,STOP,1859.71,2021-06-16 10:00:00,2021-06-16 10:05:00,2021-06-16 14:00:00
176584.0,879724.0,879727.0,176585.0,1.0,3.0,1820.0,1818.9381674013246,1830.0,5.8416684619898795,0.11,1820.555,1818.9381674013246,1.0,-1.0,1.0,-1.0,0.0,1.0,17.78515858543051,7406.432675304066,7388.647516718635,0.7236651973509648,0.29,1.0,REV_LONG,STOP,1820.41,2021-06-17 05:20:00,2021-06-17 05:25:00,2021-06-17 05:28:00
176610.0,879854.0,879883.0,176616.0,-1.0,2.0,1810.0,1811.566039810463,1800.0,3.3628314312045706,0.13,1808.915,1811.566039810463,1.0,1.0,1.0,1.0,0.0,1.0,34.46351753602016,7388.647516718635,7354.1839991826155,1.5660398104630422,0.29,6.0,BREAK_SHORT,STOP,1809.06,2021-06-17 07:30:00,2021-06-17 07:35:00,2021-06-17 08:04:00
177007.0,881834.0,881973.0,177035.0,1.0,3.0,1770.0,1767.5111327932054,1780.0,1.4395333841688465,0.03,1772.6305,1767.5111327932054,1.0,-1.0,-1.0,-1.0,1.0,1.0,15.35810162038365,7354.1839991826155,7338.825897562232,2.02173441358883,0.29,28.0,REV_LONG,STOP,1772.4855,2021-06-18 17:35:00,2021-06-18 17:40:00,2021-06-18 19:59:00
177435.0,883964.0,884012.0,177445.0,1.0,3.0,1780.0,1776.7813460898976,1790.0,1.834398556348349,0.03,1781.445,1776.7813460898976,1.0,-1.0,-1.0,-1.0,0.0,0.0,13.990961730306935,7338.825897562232,7324.834935831925,1.5873078202050626,0.29,10.0,REV_LONG,STOP,1781.3,2021-06-22 07:15:00,2021-06-22 07:20:00,2021-06-22 08:08:00
177652.0,885044.0,885051.0,177654.0,-1.0,4.0,1780.0,1781.7324407926267,1770.0,5.201272702798461,0.09,1779.8405,1781.7324407926267,1.0,1.0,-1.0,-1.0,0.0,1.0,17.027467133639902,7324.834935831925,7307.8074686982845,0.9048815852534264,0.29,2.0,REV_SHORT,STOP,1779.9855,2021-06-23 02:20:00,2021-06-23 02:25:00,2021-06-23 02:32:00
177792.0,885744.0,885808.0,177805.0,1.0,1.0,1790.0,1787.6807138491147,1800.0,2.0993582253830465,0.09,1791.6555,1787.6807138491147,1.0,1.0,1.0,1.0,0.0,0.0,35.77307535796854,7307.8074686982845,7272.0343933403165,2.319286150885356,0.29,13.0,BREAK_LONG,STOP,1791.5105,2021-06-23 14:00:00,2021-06-23 14:05:00,2021-06-23 15:09:00
178004.0,886799.0,887038.0,178052.0,1.0,1.0,1780.0,1778.8229025873966,1790.0,2.2326196716428193,0.1,1782.2805,1784.175,3.0,1.0,1.0,1.0,0.0,0.0,34.57597412603491,7272.0343933403165,7290.979393340315,1.1770974126034763,0.29,48.0,BREAK_LONG,TIME,1782.1355,2021-06-24 08:40:00,2021-06-24 08:45:00,2021-06-24 12:44:00
178368.0,888614.0,888853.0,178416.0,-1.0,2.0,1780.0,1781.521037679904,1770.0,1.7855253195302458,0.08,1777.385,1779.6299999999999,3.0,1.0,1.0,1.0,0.0,0.0,33.088301439232964,7290.979393340315,7273.019393340316,1.5210376799040188,0.29,48.0,BREAK_SHORT,TIME,1777.53,2021-06-25 16:00:00,2021-06-25 16:05:00,2021-06-25 20:04:00
178553.0,889534.0,889773.0,178601.0,-1.0,2.0,1780.0,1781.4048567852174,1770.0,1.0311928196002507,0.03,1775.79,1776.0049999999999,3.0,1.0,1.0,-1.0,0.0,0.0,16.844570355652195,7273.019393340316,7272.374393340317,1.4048567852172793,0.29,48.0,BREAK_SHORT,TIME,1775.935,2021-06-28 08:25:00,2021-06-28 08:30:00,2021-06-28 12:29:00
179063.0,892074.0,892190.0,179087.0,-1.0,2.0,1760.0,1760.8355988138592,1750.0,4.6111053127340345,0.18,1758.9045,1760.8355988138592,1.0,1.0,1.0,1.0,0.0,0.0,34.75977864946344,7272.374393340317,7237.614614690853,0.8355988138591652,0.29,24.0,BREAK_SHORT,STOP,1759.0495,2021-06-30 04:55:00,2021-06-30 05:00:00,2021-06-30 06:56:00
179141.0,892464.0,892479.0,179145.0,-1.0,4.0,1760.0,1761.9233491085452,1750.0,4.2796749020907505,0.16,1759.665,1761.9233491085452,1.0,1.0,1.0,1.0,0.0,1.0,36.133585736723035,7237.614614690853,7201.48102895413,1.1866982170904188,0.29,4.0,REV_SHORT,STOP,1759.81,2021-06-30 11:25:00,2021-06-30 11:30:00,2021-06-30 11:45:00
179207.0,892794.0,892867.0,179222.0,1.0,1.0,1770.0,1768.2607237717723,1780.0,1.7922228680907866,0.04,1772.465,1768.2607237717723,1.0,1.0,1.0,-1.0,0.0,0.0,16.81710491291051,7201.48102895413,7184.66392404122,1.7392762282276673,0.29,15.0,BREAK_LONG,STOP,1772.32,2021-06-30 16:55:00,2021-06-30 17:00:00,2021-06-30 18:13:00
