i_decision,i_fill_m1,i_exit_m1,i_exit_m5,q,scenario,level,stop,target,r_est,lots,fill_px,exit_px,exit_reason,ctx_ema,ctx_vwap,ctx_dxy,extension_vwap,retest,risk_amount,equity_before,equity_after,atr,spread,bars_held,scenario_name,exit_reason_name,m5_close,ts_decision_utc,ts_fill_utc,ts_exit_utc
36334.0,181013.0,181026.0,36337.0,1.0,1.0,2350.0,2347.7712891633723,2360.0,2.4314542894281175,0.12,2351.335,2347.7712891633723,1.0,1.0,1.0,1.0,0.0,0.0,42.764530039532474,9225.544233184037,9182.779703144504,2.2287108366274517,0.29,3.0,BREAK_LONG,STOP,2351.19,2024-07-03 12:45:00,2024-07-03 12:50:00,2024-07-03 13:03:00
36761.0,183138.0,183377.0,36809.0,1.0,1.0,2360.0,2358.9062951711094,2370.0,4.045563498620173,0.2,2361.105,2365.385,3.0,1.0,1.0,1.0,0.0,1.0,43.974096577812816,9182.779703144504,9268.379703144508,1.0937048288907574,0.29,48.0,BREAK_LONG,TIME,2360.96,2024-07-05 02:20:00,2024-07-05 02:25:00,2024-07-05 06:24:00
37128.0,184968.0,185207.0,37176.0,1.0,3.0,2370.0,2367.602856999747,2380.0,3.4559690135002685,0.16,2370.3849999999998,2375.405,3.0,-1.0,-1.0,1.0,1.0,1.0,44.51428800404392,9268.379703144508,9348.699703144515,1.504286000506286,0.29,48.0,REV_LONG,TIME,2370.24,2024-07-08 09:55:00,2024-07-08 10:00:00,2024-07-08 13:59:00
37376.0,186203.0,186442.0,37424.0,1.0,3.0,2360.0,2357.8437617032055,2370.0,3.7462347849504747,0.18,2360.405,2359.225,3.0,-1.0,-1.0,1.0,0.0,1.0,46.10228934230508,9348.699703144515,9327.45970314451,1.2324765935892836,0.29,48.0,REV_LONG,TIME,2360.26,2024-07-09 07:35:00,2024-07-09 07:40:00,2024-07-09 11:39:00
37630.0,187468.0,187524.0,37642.0,-1.0,4.0,2370.0,2370.865933398561,2360.0,3.1938296849297485,0.18,2368.275,2370.865933398561,1.0,-1.0,-1.0,1.0,0.0,0.0,46.636801174097855,9327.45970314451,9280.822901970412,0.9518667971221985,0.29,12.0,REV_SHORT,STOP,2368.42,2024-07-10 05:45:00,2024-07-10 05:50:00,2024-07-10 06:46:00
37890.0,188763.0,188888.0,37916.0,1.0,1.0,2380.0,2379.1441487884194,2390.0,3.3846945086214193,0.18,2381.62,2379.1441487884194,1.0,1.0,1.0,1.0,0.0,1.0,44.56532180844806,9280.822901970412,9236.257580161964,0.8558512115804837,0.29,26.0,BREAK_LONG,STOP,2381.475,2024-07-11 04:25:00,2024-07-11 04:30:00,2024-07-11 06:35:00
38008.0,189353.0,189383.0,38015.0,-1.0,4.0,2410.0,2413.9693820612097,2400.0,2.222923559560792,0.05,2409.635,2413.9693820612097,1.0,-1.0,-1.0,-1.0,1.0,1.0,21.671910306047266,9236.257580161964,9214.585669855916,4.008764122419138,0.29,7.0,REV_SHORT,STOP,2409.78,2024-07-11 14:15:00,2024-07-11 14:20:00,2024-07-11 14:50:00
38413.0,191368.0,191468.0,38434.0,-1.0,4.0,2410.0,2411.6315778711014,2400.0,2.967685111066349,0.07,2408.7,2411.6315778711014,1.0,-1.0,-1.0,-1.0,0.0,0.0,20.52104509771107,9214.585669855916,9194.064624758204,1.4531557422024561,0.29,21.0,REV_SHORT,STOP,2408.845,2024-07-15 02:00:00,2024-07-15 02:05:00,2024-07-15 03:45:00
38495.0,191778.0,191813.0,38503.0,1.0,1.0,2410.0,2408.678045878641,2420.0,2.835409920309505,0.15,2411.63,2408.678045878641,1.0,1.0,1.0,1.0,0.0,1.0,44.27931182038492,9194.064624758204,9149.78531293782,1.3219541213588275,0.29,8.0,BREAK_LONG,STOP,2411.485,2024-07-15 08:50:00,2024-07-15 08:55:00,2024-07-15 09:30:00
38571.0,192158.0,192264.0,38593.0,1.0,1.0,2430.0,2427.493390130312,2440.0,1.0581558036290077,0.07,2433.57,2427.493390130312,1.0,1.0,1.0,1.0,0.0,0.0,42.5362690878169,9149.78531293782,9107.249043850003,2.506609869688169,0.29,22.0,BREAK_LONG,STOP,2433.425,2024-07-15 15:10:00,2024-07-15 15:15:00,2024-07-15 17:01:00
