target_vol_is,max_lev_is,vol_floor_is,cagr_pct_is,equity_dd_pct_is,sharpe_is,profit_factor_is,recovery_factor_is,trades_is,net_profit_is,years_is,vt_r,lev_r,vfl_r,calmar_is,cagr_robust,sharpe_robust,target_vol_oos,max_lev_oos,vol_floor_oos,cagr_pct_oos,equity_dd_pct_oos,sharpe_oos,profit_factor_oos,recovery_factor_oos,trades_oos,net_profit_oos,years_oos,calmar_oos,cagr_avg
0.5,24.0,0.05,10.0944,9.5035,1.1861,1.4004,3.7277,630,4602.6,3.937,0.5,24.0,0.05,1.0621770926500762,9.87315,1.2036,0.5,24.0,0.05,4.0676,4.9886,0.6164,1.2264,1.2014,206,612.97,1.492,0.8153790642665276,7.0809999999999995
0.5,32.0,0.05,10.0944,9.5035,1.1861,1.4004,3.7277,630,4602.6,3.937,0.5,32.0,0.05,1.0621770926500762,9.87315,1.2036,0.5,32.0,0.05,4.0676,4.9886,0.6164,1.2264,1.2014,206,612.97,1.492,0.8153790642665276,7.0809999999999995
0.5,64.0,0.05,10.0944,9.5035,1.1861,1.4004,3.7277,630,4602.6,3.937,0.5,64.0,0.05,1.0621770926500762,9.87315,1.2036,0.5,64.0,0.05,4.0676,4.9886,0.6164,1.2264,1.2014,206,612.97,1.492,0.8153790642665276,7.0809999999999995
0.5,48.0,0.02,9.602,9.4817,1.0712,1.3636,3.4684,630,4347.18,3.937,0.5,48.0,0.02,1.01268759821551,9.2797,1.0690000000000002,0.5,48.0,0.02,4.5373,6.2483,0.579,1.2296,1.0513,206,684.53,1.492,0.7261655170206296,7.06965
0.5,64.0,0.02,9.602,9.4817,1.0712,1.3636,3.4684,630,4347.18,3.937,0.5,64.0,0.02,1.01268759821551,9.2797,1.0690000000000002,0.5,64.0,0.02,4.5373,6.2483,0.579,1.2296,1.0513,206,684.53,1.492,0.7261655170206296,7.06965
0.5,72.0,0.02,9.602,9.4817,1.0712,1.3636,3.4684,630,4347.18,3.937,0.5,72.0,0.02,1.01268759821551,9.2797,1.0690000000000002,0.5,72.0,0.02,4.5373,6.2483,0.579,1.2296,1.0513,206,684.53,1.492,0.7261655170206296,7.06965
0.5,32.0,0.02,9.602,9.4817,1.0712,1.3636,3.4684,630,4347.18,3.937,0.5,32.0,0.02,1.01268759821551,9.353683333333334,1.0765833333333334,0.5,32.0,0.02,4.5373,6.2483,0.579,1.2296,1.0513,206,684.53,1.492,0.7261655170206296,7.06965
0.5,56.0,0.02,9.602,9.4817,1.0712,1.3636,3.4684,630,4347.18,3.937,0.5,56.0,0.02,1.01268759821551,9.2797,1.0690000000000002,0.5,56.0,0.02,4.5373,6.2483,0.579,1.2296,1.0513,206,684.53,1.492,0.7261655170206296,7.06965
0.5,80.0,0.02,9.602,9.4817,1.0712,1.3636,3.4684,630,4347.18,3.937,0.5,80.0,0.02,1.01268759821551,9.2797,1.069,0.5,80.0,0.02,4.5373,6.2483,0.579,1.2296,1.0513,206,684.53,1.492,0.7261655170206296,7.06965
0.5,40.0,0.02,9.602,9.4817,1.0712,1.3636,3.4684,630,4347.18,3.937,0.5,40.0,0.02,1.01268759821551,9.2797,1.0690000000000002,0.5,40.0,0.02,4.5373,6.2483,0.579,1.2296,1.0513,206,684.53,1.492,0.7261655170206296,7.06965
0.45,64.0,0.03,9.7744,9.074,1.1524,1.3876,3.6592,630,4436.22,3.937,0.45,64.0,0.03,1.0771875688781134,9.605133333333335,1.1376,0.45,64.0,0.03,4.1851,5.424,0.6219,1.2268,1.1274,206,630.85,1.492,0.771589233038348,6.97975
0.45,72.0,0.03,9.7744,9.074,1.1524,1.3876,3.6592,630,4436.22,3.937,0.45,72.0,0.03,1.0771875688781134,9.605133333333335,1.1376,0.45,72.0,0.03,4.1851,5.424,0.6219,1.2268,1.1274,206,630.85,1.492,0.771589233038348,6.97975
0.45,80.0,0.03,9.7744,9.074,1.1524,1.3876,3.6592,630,4436.22,3.937,0.45,80.0,0.03,1.0771875688781134,9.605133333333335,1.1376000000000002,0.45,80.0,0.03,4.1851,5.424,0.6219,1.2268,1.1274,206,630.85,1.492,0.771589233038348,6.97975
0.45,32.0,0.03,9.7744,9.074,1.1524,1.3876,3.6592,630,4436.22,3.937,0.45,32.0,0.03,1.0771875688781134,9.605133333333335,1.1376,0.45,32.0,0.03,4.1851,5.424,0.6219,1.2268,1.1274,206,630.85,1.492,0.771589233038348,6.97975
0.45,48.0,0.03,9.7744,9.074,1.1524,1.3876,3.6592,630,4436.22,3.937,0.45,48.0,0.03,1.0771875688781134,9.605133333333335,1.1376,0.45,48.0,0.03,4.1851,5.424,0.6219,1.2268,1.1274,206,630.85,1.492,0.771589233038348,6.97975
0.45,24.0,0.03,9.7744,9.074,1.1524,1.3876,3.6592,630,4436.22,3.937,0.45,24.0,0.03,1.0771875688781134,9.625833333333333,1.1404555555555556,0.45,24.0,0.03,4.1851,5.424,0.6219,1.2268,1.1274,206,630.85,1.492,0.771589233038348,6.97975
0.45,40.0,0.03,9.7744,9.074,1.1524,1.3876,3.6592,630,4436.22,3.937,0.45,40.0,0.03,1.0771875688781134,9.605133333333335,1.1376,0.45,40.0,0.03,4.1851,5.424,0.6219,1.2268,1.1274,206,630.85,1.492,0.771589233038348,6.97975
