position_id,entry_time,exit_time,direction,lots,entry_price,exit_price,profit,commission,swap,net,forced_close,duration_days,safety_stop,score,leverage
34,2024-02-08 21:00:17,2024-03-08 21:00:17,LONG,21.18,149.311,147.054,-32507.28,0.0,4088.97,-28418.309999999998,False,29.0,False,0.5,6.6
36,2024-03-15 21:00:17,2024-07-25 21:00:17,LONG,18.79,149.068,153.936,59420.62,0.0,15909.22,75329.84,False,132.0,False,0.5,6.6
38,2024-10-14 21:00:17,2024-12-02 21:00:17,LONG,17.43,149.759,149.524,-2739.39,0.0,5585.64,2846.2500000000005,False,49.0,False,0.5,4.45
40,2024-12-05 21:00:17,2024-12-06 21:00:17,LONG,21.57,150.088,149.951,-1970.7,0.0,143.55,-1827.15,False,1.0,False,0.5,5.63
42,2024-12-11 21:00:17,2024-12-12 21:00:17,LONG,24.6,152.601,152.655,870.2,0.0,484.25,1354.45,False,1.0,False,0.5,6.55
44,2024-12-16 21:00:17,2025-02-05 21:00:17,LONG,23.74,154.159,152.69,-22839.78,0.0,7732.83,-15106.949999999999,False,51.0,False,0.5,6.25
46,2025-06-23 21:00:17,2025-06-25 21:00:17,LONG,21.32,146.16,145.243,-13460.5,0.0,292.93,-13167.57,False,2.0,False,0.5,5.59
48,2025-07-07 21:00:17,2025-07-22 21:00:17,LONG,22.92,146.076,146.632,8690.82,0.0,2331.36,11022.18,False,15.0,False,0.5,6.6
50,2025-07-28 21:00:17,2025-08-04 21:00:17,LONG,23.63,148.555,147.084,-23632.57,0.0,1109.38,-22523.19,False,7.0,False,0.5,6.6
52,2025-08-22 21:00:17,2025-08-28 21:00:17,LONG,17.18,146.952,146.92,-374.19,0.0,698.66,324.46999999999997,False,6.0,False,0.5,5.12
54,2025-09-03 21:00:17,2025-09-04 21:00:17,LONG,21.96,148.118,148.458,5029.3,0.0,444.77,5474.07,False,1.0,False,0.5,6.6
56,2025-09-08 21:00:17,2025-09-11 21:00:17,LONG,22.73,147.532,147.212,-4940.9,0.0,770.47,-4170.429999999999,False,3.0,False,0.5,6.6
58,2025-09-19 21:00:17,2025-09-23 21:00:17,LONG,22.13,147.976,147.644,-4976.27,0.0,299.83,-4676.4400000000005,False,4.0,False,0.5,6.6
60,2025-09-25 21:00:17,2025-10-02 21:00:17,LONG,21.56,149.806,147.244,-37513.73,0.0,1017.46,-36496.270000000004,False,7.0,False,0.5,6.6
62,2025-10-06 21:00:17,2026-01-27 21:00:17,LONG,18.53,150.379,152.37,24212.92,0.0,13486.89,37699.81,False,113.0,False,0.5,6.6
64,2026-02-02 21:00:17,2026-02-03 21:00:17,LONG,17.84,155.592,155.718,1443.53,0.0,114.64,1558.17,False,1.0,False,0.5,5.47
66,2026-02-04 21:00:17,2026-02-11 21:00:17,LONG,18.72,156.932,153.208,-45502.38,0.0,836.65,-44665.729999999996,False,7.0,False,0.5,5.63
68,2026-02-25 21:00:17,2026-03-02 21:00:17,LONG,18.1,156.46,157.345,10180.5,0.0,579.22,10759.72,False,5.0,False,0.5,6.6
70,2026-03-03 21:00:17,2026-04-29 23:59:59,LONG,19.31,157.673,160.197,30424.07,0.0,6918.49,37342.56,True,57.12479166666667,False,0.5,6.6
