target_vol_is,max_lev_is,vol_floor_is,cagr_pct_is,equity_dd_pct_is,sharpe_is,profit_factor_is,recovery_factor_is,trades_is,net_profit_is,years_is,vt_r,lev_r,vfl_r,calmar_is,target_vol_oos,max_lev_oos,vol_floor_oos,cagr_pct_oos,equity_dd_pct_oos,sharpe_oos,profit_factor_oos,recovery_factor_oos,trades_oos,net_profit_oos,years_oos,calmar_oos,cagr_avg,dd_max,sharpe_min
1.5,80.0,0.015,26.0532,17.9589,1.5022,1.5586,3.9106,585,14881.92,3.937,1.5,80.0,0.015,1.4507124601172678,1.5,80.0,0.015,18.3878,11.934,1.1045,1.5776,2.3176,201,2864.22,1.492,1.5407910172616055,22.2205,17.9589,1.1045
1.5,80.0,0.005,26.0532,17.9589,1.5022,1.5586,3.9106,585,14881.92,3.937,1.5,80.0,0.005,1.4507124601172678,1.5,80.0,0.005,18.3878,11.934,1.1045,1.5776,2.3176,201,2864.22,1.492,1.5407910172616055,22.2205,17.9589,1.1045
1.5,80.0,0.01,26.0532,17.9589,1.5022,1.5586,3.9106,585,14881.92,3.937,1.5,80.0,0.01,1.4507124601172678,1.5,80.0,0.01,18.3878,11.934,1.1045,1.5776,2.3176,201,2864.22,1.492,1.5407910172616055,22.2205,17.9589,1.1045
1.5,80.0,0.02,25.859700000000004,17.9801,1.4962,1.5555,3.8923,585,14731.83,3.937,1.5,80.0,0.02,1.4382400542822344,1.5,80.0,0.02,18.5079,11.2005,1.1428,1.5767,2.4899,201,2883.7,1.492,1.6524173027989821,22.1838,17.9801,1.1428
2.0,64.0,0.05,27.7865,20.441,1.4058,1.5184,3.6553,585,16256.39,3.937,2.0,64.0,0.05,1.3593513037522627,2.0,64.0,0.05,15.9696,9.2563,1.0072,1.4009,1.9841,201,2474.11,1.492,1.7252681957153506,21.87805,20.441,1.0072
2.0,80.0,0.05,27.7865,20.441,1.4058,1.5184,3.6553,585,16256.39,3.937,2.0,80.0,0.05,1.3593513037522627,2.0,80.0,0.05,15.9696,9.2563,1.0072,1.4009,1.9841,201,2474.11,1.492,1.7252681957153506,21.87805,20.441,1.0072
2.0,48.0,0.05,27.7865,20.441,1.4058,1.5184,3.6553,585,16256.39,3.937,2.0,48.0,0.05,1.3593513037522627,2.0,48.0,0.05,15.9696,9.2563,1.0072,1.4009,1.9841,201,2474.11,1.492,1.7252681957153506,21.87805,20.441,1.0072
1.5,64.0,0.02,25.4537,17.771,1.4894,1.5521,3.9178,585,14419.25,3.937,1.5,64.0,0.02,1.432316695740251,1.5,64.0,0.02,17.860400000000002,9.5791,1.1745,1.5505,2.5137,201,2778.8,1.492,1.864517543401781,21.65705,17.771,1.1745
1.5,64.0,0.005,25.4537,17.771,1.4894,1.5521,3.9178,585,14419.25,3.937,1.5,64.0,0.005,1.432316695740251,1.5,64.0,0.005,17.860400000000002,9.5791,1.1745,1.5505,2.5137,201,2778.8,1.492,1.864517543401781,21.65705,17.771,1.1745
1.5,64.0,0.015,25.4537,17.771,1.4894,1.5521,3.9178,585,14419.25,3.937,1.5,64.0,0.015,1.432316695740251,1.5,64.0,0.015,17.860400000000002,9.5791,1.1745,1.5505,2.5137,201,2778.8,1.492,1.864517543401781,21.65705,17.771,1.1745
1.5,64.0,0.01,25.4537,17.771,1.4894,1.5521,3.9178,585,14419.25,3.937,1.5,64.0,0.01,1.432316695740251,1.5,64.0,0.01,17.860400000000002,9.5791,1.1745,1.5505,2.5137,201,2778.8,1.492,1.864517543401781,21.65705,17.771,1.1745
2.0,48.0,0.055,27.7843,20.4427,1.4053,1.5179,3.6549,585,16254.56,3.937,2.0,48.0,0.055,1.3591306432124917,2.0,48.0,0.055,15.193599999999998,8.8646,0.9698,1.3815,1.992,201,2349.77,1.492,1.7139634050041739,21.48895,20.4427,0.9698
