,BASELINE_or_seul,GOLD_JPY_w0.100,GOLD_JPY_w0.125,GOLD_JPY_w0.150,GOLD_JPY_w0.175,GOLD_JPY_w0.200,GOLD_JPY_XAG_w0.100,GOLD_JPY_XAG_w0.125,GOLD_JPY_XAG_w0.150,GOLD_JPY_XAG_w0.175,GOLD_JPY_XAG_w0.200
2025-03-10,-0.008659349834317332,-0.004859180171554487,-0.006214555251484291,-0.007601157980076592,-0.00900025027126776,-0.01039049756195712,-0.0048286800143982934,-0.006180422959933927,-0.007568782150587863,-0.008977243806485997,-0.010386493489708576
2025-03-11,0.03663276597217126,0.03448529118433829,0.035774943653631,0.036963897624624244,0.03802081535780566,0.03891669481113639,0.03609806903077508,0.03787152629464916,0.03957546078284704,0.04117488788114317,0.042634790073586955
2025-03-12,0.0025892783370972906,-0.0007115431671945432,0.00037877355606263685,0.0015133002514215227,0.0026794227534594397,0.0038618431831644547,0.0014318459017834532,0.003123157497024848,0.004835397575328761,0.00655793705840166,0.008266849261234593
2025-03-13,0.023414218113436965,0.014947119972116013,0.018198037572815816,0.02150899000862894,0.024834767297301164,0.02812465755284517,0.014222545106178814,0.01728978298130896,0.020254297825055778,0.023179467919690288,0.026020207413472014
2025-03-14,-0.0041083827866635085,-0.003906476880656954,-0.004146292871918062,-0.004377049561159737,-0.0045940608303132536,-0.004792794412167004,-0.0030012993123675583,-0.0029943812540559156,-0.0029754999403171643,-0.0029434798464801236,-0.0028975275817306723
2025-03-17,0.002401215071314908,-0.00032299454182143977,0.0004052320363691288,0.0011608055965803333,0.001934594581353452,0.002715770545127097,-0.0018804463772935445,-0.0015858424055212304,-0.0012722913435103567,-0.0009421346471249292,-0.000598635383483557
2025-03-18,0.009923864597331073,0.003859065245850256,0.00566825720004762,0.007494373177816244,0.009306439312300234,0.01107275300826146,0.004594932586177791,0.0066264742250189135,0.008692759271069394,0.010762273708892881,0.012801092227976795
2025-03-19,-0.003991422280994459,-0.007074365217005389,-0.006021519983495443,-0.0049076225896393455,-0.0037477056352764188,-0.0025598648088933245,-0.011545329875833532,-0.011715248118804296,-0.011833306289153616,-0.011892980353633995,-0.01189002294937488
2025-03-20,0.005716590615069311,0.006705151164461347,0.006676304106982108,0.006611623509438381,0.006509720663941007,0.006370968815540756,0.005765395721777584,0.005486674348125967,0.005172146236939225,0.004823931642720405,0.004445869397336928
2025-03-21,-0.006706907689543096,-0.0030736362713936877,-0.0041958723131126875,-0.005327380345727265,-0.006449378928992724,-0.007542569564811713,-0.004684655584420745,-0.006256935217277187,-0.00785008930274079,-0.009439513682286783,-0.010999043343241158
2025-03-24,-0.006014672336631685,-0.004175635511313561,-0.0047586939256164295,-0.0053324671221054495,-0.005886437132100396,-0.006410539779193554,-0.003543687181884275,-0.003961642311017843,-0.004373196487710622,-0.004770956415886633,-0.005147688058950297
2025-03-25,0.005193232719193931,0.003839112674747824,0.004345891090543227,0.004843234161003658,0.005321956783785273,0.005773349069816832,0.007870836706431036,0.009482591663582677,0.01109792931138181,0.012690233260117765,0.014232225673967192
2025-03-26,-4.286903084063423e-05,0.0001916414085278359,0.0001182431310255717,4.225836346234195e-05,-3.5178953971963003e-05,-0.00011280792103781125,0.00046908397057908647,0.0004709232163413144,0.0004704614180778483,0.00046752407813032456,0.0004620433932360685
2025-03-27,0.013066426368872152,0.006422969271452316,0.008489834653877702,0.010567104318156346,0.012619838553874569,0.014612611114309036,0.009029622739767883,0.0118222020475672,0.01464157820083561,0.01744269922693334,0.020178524241396868
2025-03-28,0.018169631515280095,0.01411860353757107,0.015375762056429975,0.016584773224038698,0.017721306375170987,0.01876345930370609,0.010816169001857504,0.011187968902345663,0.011512830778694395,0.011781561112746043,0.011987176049799427
2025-03-31,0.013502448895775282,0.007256050170180678,0.00925762708938255,0.01126420356285676,0.013241214605213679,0.015153855941408606,0.0037022451351655986,0.0047506747723668665,0.005806356466978576,0.0068516752842532865,0.007868451644875162
2025-04-01,-0.0011269250799962878,0.0005208808490438192,6.970328254057218e-05,-0.0003941063733487835,-0.000863192844150972,-0.0013295722947289056,-0.0006405237367666295,-0.001409616670905777,-0.002194943393478819,-0.0029841461481739722,-0.0037639146257289037
2025-04-02,0.0023625991392285726,-0.0008236793003566654,1.3537378463358938e-05,0.0008735169307604197,0.0017433599826973964,0.002609029683803791,8.09283632117241e-05,0.0011676837345240576,0.0022808877472211887,0.003403680230698051,0.0045177321996164406
2025-04-03,-0.02435633178981931,-0.02303916911234897,-0.024328990053302885,-0.025532036071878626,-0.026621852898700928,-0.027575934632569268,-0.037523715732859765,-0.04276220847536661,-0.04794330631928588,-0.05297427076161536,-0.05776384128474369
2025-04-04,-0.012951785490200167,-9.572968272848088e-05,-0.0037124706225082197,-0.0073987343506337604,-0.011095909245435968,-0.01474237980181235,-0.014130863789061683,-0.02137694433224841,-0.028603402307115375,-0.035681248312985,-0.04248822113963638
2025-04-07,-0.022867007272589703,-0.013950706676924968,-0.017047879063042875,-0.02011733505654754,-0.023102085429506435,-0.025947732610940428,-0.015576579547308041,-0.01895678162077729,-0.022212665382934257,-0.02527590711793484,-0.028092285584067258
