entry_n,exit_n,symbol,source,n_bars,first_date,last_date,sharpe_net,cagr_net,maxdd,trades_total,trades_per_year,exposure_median,years_in_window,status
100,25,US500,yahoo,9067,1990-01-02,2025-12-31,0.2539272657808553,0.029843612360784144,-0.7828941832740062,81,2.2512407632072353,0.0,35.98015873015873,OK
252,126,US500,yahoo,9067,1990-01-02,2025-12-31,0.6325972468770078,0.18808193926087702,-0.689718627329339,14,0.3891033417889048,2.390938929486801,35.98015873015873,OK
252,63,US500,yahoo,9067,1990-01-02,2025-12-31,0.49392241005807186,0.12067290982022394,-0.8047746103273801,33,0.9171721627881328,2.6279383926754685,35.98015873015873,OK
55,27,USD-JPY,fx_minute,2074,2018-01-02,2025-12-31,0.31599643964966667,0.05067675861943255,-0.5170369380271562,17,2.0655737704918034,0.0,8.23015873015873,OK
55,13,USD-JPY,fx_minute,2074,2018-01-02,2025-12-31,0.20126917131300848,0.018473797469027442,-0.4553118872887296,28,3.402121504339441,0.0,8.23015873015873,OK
100,50,USD-JPY,fx_minute,2074,2018-01-02,2025-12-31,0.6217785358640298,0.1353431190841301,-0.49260695691635337,6,0.729026036644166,0.0,8.23015873015873,OK
100,25,USD-JPY,fx_minute,2074,2018-01-02,2025-12-31,0.4236080809411659,0.07949320972458507,-0.42039779982034564,14,1.7010607521697205,0.0,8.23015873015873,OK
252,126,USD-JPY,fx_minute,2074,2018-01-02,2025-12-31,0.3402395472262419,0.0559296389721351,-0.6214016488947643,2,0.24300867888138863,0.0,8.23015873015873,OK
252,63,USD-JPY,fx_minute,2074,2018-01-02,2025-12-31,0.4540527524951165,0.07713878026923426,-0.4164625488105643,3,0.364513018322083,0.0,8.23015873015873,OK
55,27,JPN225,mt5,973,2022-11-03,2025-12-31,0.5970505615443281,0.1746267202908045,-0.5030762131393529,7,1.8129496402877698,2.00902751930931,3.861111111111111,OK
55,13,JPN225,mt5,973,2022-11-03,2025-12-31,0.3921901021179605,0.07797869612744712,-0.5904165969664616,14,3.6258992805755397,0.0,3.861111111111111,OK
100,50,JPN225,mt5,973,2022-11-03,2025-12-31,0.7496323528250677,0.27294611194354856,-0.6654143399557586,4,1.0359712230215827,0.0,3.861111111111111,OK
100,25,JPN225,mt5,973,2022-11-03,2025-12-31,0.5902872170543393,0.17461657609152526,-0.6026571878087509,6,1.553956834532374,0.0,3.861111111111111,OK
252,126,JPN225,mt5,973,2022-11-03,2025-12-31,0.8831372828039783,0.29955561945939735,-0.4695237075276394,1,0.2589928057553957,0.0,3.861111111111111,OK
252,63,JPN225,mt5,973,2022-11-03,2025-12-31,0.9922845763473337,0.34334451941895305,-0.3971112757186728,1,0.2589928057553957,0.0,3.861111111111111,OK
55,27,EUR-JPY,mt5,986,2022-11-03,2025-12-31,0.4769350228311951,0.10015696045607703,-0.35614890761127715,8,2.0446247464503045,4.078015917773472,3.9126984126984126,OK
